No,Province,Name of landfill,Management Unit,Location,Area (ha),Capacity (tons/day),Actual Capacity (tons/day),Waste processing techniques,Scope of service,Note,detected,latitude,longitude,no_dump,uncertain
50,Phu Yen,"Bãi chôn lấp rác thải thị trấn Củng Sơn, huyện Sơn Hòa",,"KP Trung Hòa, thị trấn Củng Sơn, huyện Sơn Hòa",0.5,,,Chôn lấp không hợp vệ sinh,,,false,13.061388888888889,108.97083333333333,true,false
51,Phu Yen,Bãi rác huyện Sơn Hòa,,"Suối Bạc, huyện Sơn Hòa",1.3,,,Chôn lấp không hợp vệ sinh,,,,13.08888888888889,108.96833333333333,,
52,Phu Yen,Bãi chứa rác tập trung xã Sơn Hà,,"Xã Sơn Hà, huyện Sơn Hoà",0.09,,,Chôn lấp không hợp vệ sinh,,,,13.0475,109.04388888888889,,
53,Phu Yen,Khu chứa rác tập trung xã Sơn Xuân,,"Xã Sơn Xuân, huyện Sơn Hòa",0.05,,,Chôn lấp không hợp vệ sinh,,,false,13.15638888888889,109.115,true,false
54,Phu Yen,Khu chứa rác tập trung xã Sơn Định,,"Xã Sơn Định, huyện Sơn Hòa",0.08,,,Chôn lấp không hợp vệ sinh,,,false,13.190277777777778,109.03416666666666,true,false
55,Phu Yen,Bãi rác tạm thời huyện Đồng Xuân,,"Xã Xuân Quang 2, huyện Đồng Xuân",2,,,Chôn lấp không hợp vệ sinh,,,,13.371944444444445,109.06305555555555,,
56,Phu Yen,Bãi rác của thị trấn Hai Riêng,,"Buôn Ken, xã Ea Bá, huyện Sông Hinh",10,,,Bãi lộ Thiên,,,true,13.000555555555556,108.86861111111111,false,false
57,Phu Yen,Bãi rác công cộng huyện Đông Hòa,,"Thôn Nam Bình 1, xã Hòa Xuân Tây, huyện Đông Hòa",3,,,Chôn lấp không hợp vệ sinh,,,,12.977777777777778,109.30555555555556,,
58,Long An,Nhà máy xử lý rác Tâm Sinh Nghĩa,,,25,,280-350,Lò đốt 02 cấp/Đang chuyển đổi sang đốt rác phát điện,"Thành phố Tân An, các huyện: Châu Thành, Bến Lức, Tân Thạnh, Tân Trụ, Thạnh Hóa, Đức Hòa và Thủ Thừa",,true,10.609166666666667,106.28,false,false
59,Long An,Bãi rác xã Tân Lân,,"Tân Lân, Cần Đước, Long An, Việt Nam",,,,,,,true,10.510555555555555,106.65055555555556,false,false
61,Ba Ria - Vung Tau,Bãi rác Bãi Nhát,,Bến Đầm,0.38,,,Chôn lấp không hợp vệ sinh,Côn Đảo,,true,8.645277777777777,106.60083333333333,false,false
62,Kien Giang,Bãi rác Mương Đào,,"KP 3, P. Đông Hồ, thành phố Hà Tiên",10,15-20,,Chôn lấp hợp vệ sinh,,,true,10.402222222222223,104.49416666666667,false,false
63,Kien Giang,Bãi rác huyện Kiên Lương,,"KP Tám Thước, TT Kiên Lương",18.2,8-9,,Chôn lấp hợp vệ sinh,,,false,10.253333333333334,104.63138888888888,true,false
64,Kien Giang,Bãi chôn lấp thị trấn Tân Hiệp,,"Ấp Tân Quới, xã Tân Hiệp A, huyện Tân Hiệp, KG",0.2,9-10,,Chôn lấp không hợp vệ sinh,,,,10.092777777777778,105.27666666666667,,
65,Kien Giang,"Bãi chôn lấp xã Bình An, huyện Châu Thành",,"Áp Gò Đất, xã Bình An, huyện Châu Thành",1.2,,,Chôn lấp không hợp vệ sinh,,,true,9.877777777777778,105.17083333333333,false,false
66,Kien Giang,Bãi rác thị trấn Giồng Riềng,,"ấp Quang Mẫn, TT. Giồng Riềng",0.55,,,Chôn lấp không hợp vệ sinh,,,false,9.9075,105.28666666666666,false,true
67,Kien Giang,Bãi rác Lục Phi (Gò Quao),,"Ấp 6, xã Vĩnh Hòa Hưng Nam, huyện Gò Quao",1.41,,,Chôn lấp không hợp vệ sinh,,,false,9.758055555555556,105.35472222222222,true,false
68,Kien Giang,Bãi rác huyện An Biên,,"Ấp Đông Thành, xã Đông Thái, huyện An Biên",2.72,,,Chôn lấp không hợp vệ sinh,,,false,9.768611111111111,105.01444444444445,true,false
69,Kien Giang,Bãi rác Thị trấn Thứ Mười Một,,"ấp 11A, xã Đông Hưng B, huyện An Minh",0.3,,,Chôn lấp không hợp vệ sinh,,,,9.582777777777778,104.96305555555556,,
70,Kien Giang,Bãi chôn lấp xã Bình Minh,,"Ấp Bời Lời, xã Bình Minh, huyện Vĩnh Thuận",1.3,,,Chôn lấp không hợp vệ sinh,,,false,9.551111111111112,105.24722222222222,true,false
71,Kien Giang,"Bãi chôn lấp thị trấn An Thới, Phú Quốc",,"Ấp 7, Thị trấn An Thới",5,,,Chôn lấp không hợp vệ sinh,,,false,10.060555555555556,104.0125,true,false
72,Kien Giang,"Bãi chôn lấp xã Cửa Dương, Phú Quốc",,"Xã Cửa Dương, Thành phố Phú Quốc",3,,,Chôn lấp không hợp vệ sinh,,,true,10.295277777777777,103.9388888888889,false,false
73,Kien Giang,"Bãi chôn lấp rác xã Phú Mỹ, huyện Giang Thành",,"Xã Phú Mỹ, huyện Gia Thành",3,,,Chôn lấp không hợp vệ sinh,,,,10.453055555555554,104.55694444444444,,
74,Kien Giang,Bãi rác thị trấn Sóc Sơn,,"Thị trấn Sóc Sơn, huyện Hòn Đát",,,,,,,true,10.092222222222222,105.025,false,false
